accession,virus,viral_family,host
NC_026825,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026826,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026827,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026828,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026829,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026830,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_007357,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007358,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007359,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007360,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007361,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007362,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007363,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007364,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Orthomyxoviridae,Amniota
NC_007366,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007368,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007369,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007370,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007371,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007372,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007373,Influenza A virus (A/New York/392/2004(H3N2)),Orthomyxoviridae,Homo sapiens
NC_007374,Influenza A virus (A/Korea/426/1968(H2N2)),Orthomyxoviridae,Amniota
NC_007454,J virus,Paramyxoviridae,Mus musculus
NC_007543,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007544,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007545,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007546,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007547,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007569,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007570,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007571,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007572,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007573,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007574,Rotavirus C,Sedoreoviridae,Homo sapiens
NC_007548,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007549,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007550,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007551,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007552,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007553,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007554,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007555,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007556,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007557,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007558,Adult diarrheal rotavirus strain J19,Sedoreoviridae,Homo sapiens
NC_007582,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007583,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007584,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007585,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007586,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007587,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007588,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007589,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007590,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007591,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007592,Chum salmon reovirus CS,Spinareoviridae,Oncorhynchus
NC_007605,human gammaherpesvirus 4,Orthoherpesviridae,Homo sapiens
NC_007611,Simian virus 12,Polyomaviridae,Papio ursinus
NC_007612,Bos taurus papillomavirus 7,Papillomaviridae,Bos taurus
NC_007646,Ovine gammaherpesvirus 2,Orthoherpesviridae,Ovis aries
NC_007653,Papiine alphaherpesvirus 2,Orthoherpesviridae,Catarrhini
NC_007654,Atlantic salmon swim bladder sarcoma virus,Retroviridae,Salmo salar
NC_007748,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007749,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007750,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007751,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007752,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007753,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007754,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007755,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007756,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007757,Peruvian horse sickness virus,Sedoreoviridae,Equus caballus
NC_007803,Beilong virus,Paramyxoviridae,Euarchontoglires
NC_007903,Mammarenavirus praomyidis,Arenaviridae,Praomys
NC_007904,Mammarenavirus praomyidis,Arenaviridae,Praomys
NC_007905,Mammarenavirus ippyense,Arenaviridae,Praomys
NC_007906,Mammarenavirus ippyense,Arenaviridae,Praomys
NC_007916,Newbury agent 1,Caliciviridae,Bos
NC_008030,Nile crocodilepox virus,Poxviridae,Crocodylus
NC_008032,Capra hircus papillomavirus 1,Papillomaviridae,Capra hircus
NC_008033,Starling circovirus,Circoviridae,Sturnus vulgaris
NC_008040,Redspotted grouper nervous necrosis virus,Nodaviridae,Hyporthodus septemfasciatus
NC_008041,Redspotted grouper nervous necrosis virus,Nodaviridae,Hyporthodus septemfasciatus
NC_008094,Y73 sarcoma virus,Retroviridae,Galliformes
NC_008184,Tursiops truncatus papillomavirus 2,Papillomaviridae,Tursiops truncatus
NC_008188,human papillomavirus 103,Papillomaviridae,Homo sapiens
NC_008189,human papillomavirus 101,Papillomaviridae,Homo sapiens
NC_008210,Ranid herpesvirus 2,Alloherpesviridae,Lithobates pipiens
NC_008211,Ranid herpesvirus 1,Alloherpesviridae,Lithobates pipiens
NC_008250,avihepatovirus A1,Picornaviridae,Gallus gallus
NC_008291,Taterapox virus,Poxviridae,Tatera
NC_077846,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077837,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077838,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077839,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077840,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077841,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077842,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077843,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077844,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077845,Mammalian orthoreovirus 3 Dearing,Spinareoviridae,Mammalia
NC_077913,Matruh virus,Peribunyaviridae,Curruca curruca
NC_077914,Matruh virus,Peribunyaviridae,Curruca curruca
NC_077915,Matruh virus,Peribunyaviridae,Curruca curruca
GQ153542,Bat SARS coronavirus HKU3-7,Coronaviridae,Rhinolophus sinicus
GQ180114,Rattus norvegicus papillomavirus 1,Papillomaviridae,Rattus norvegicus
GQ227670,Macaca fascicularis papillomavirus 11,Papillomaviridae,Macaca fascicularis
GQ244463,human papillomavirus 114,Papillomaviridae,Homo sapiens
GQ246950,Human papillomavirus 117,Papillomaviridae,Homo sapiens
GQ246951,human papillomavirus 118,Papillomaviridae,Homo sapiens
GQ249161,Porcine kobuvirus swine/K-30-HUN/2008/HUN,Picornaviridae,Sus scrofa
GQ273492,Turbot reddish body iridovirus,Iridoviridae,Scophthalmus maximus
GQ323774,rhinovirus C10,Picornaviridae,Homo sapiens
GQ351275,Chimpanzee stool associated circular ssDNA virus,Smacoviridae,Pan troglodytes
GQ384080,Human adenovirus 36,Adenoviridae,Homo sapiens
GQ404848,Cyclovirus PK6197,Circoviridae,Homo sapiens
GQ404858,Cyclovirus TN18,Circoviridae,Homo sapiens
GQ415051,rhinovirus A101,Picornaviridae,Homo sapiens
GQ475301,Calicivirus isolate Allston 2009/US,Caliciviridae,Cricetulus griseus
GQ495608,Human astrovirus 6,Astroviridae,Homo sapiens
GQ845441,human papillomavirus 119,Papillomaviridae,Homo sapiens
GQ845444,Human papillomavirus 122,Papillomaviridae,Homo sapiens
GQ845445,Human papillomavirus 123,Papillomaviridae,Homo sapiens
GQ845446,human papillomavirus 124,Papillomaviridae,Homo sapiens
GQ865517,Enterovirus C109,Picornaviridae,Homo sapiens
GU117620,Delphinus delphis papillomavirus,Papillomaviridae,Delphinus delphis
GU117629,Human papillomavirus 149,Papillomaviridae,Homo sapiens
GU117630,Human papillomavirus 130,Papillomaviridae,Homo sapiens
GU117633,Human papillomavirus 133,Papillomaviridae,Homo sapiens
GU129016,Human papillomavirus 148,Papillomaviridae,Homo sapiens
GU168576,Rinderpest morbillivirus,Paramyxoviridae,Bos taurus
GU191019,Human adenovirus 18,Adenoviridae,Homo sapiens
GU450331,Torque teno sus virus SH0822/2008,Anelloviridae,Sus scrofa
GU594162,Norovirus Hu/GII.14/8610/Saga/2008/JPN,Caliciviridae,Homo sapiens
HE963025,Human papillomavirus 159,Papillomaviridae,Homo sapiens
HE974380,hepatitis B virus genotype E,Hepadnaviridae,Homo sapiens
HG531783,Caviid herpesvirus 2 str. CIDMTR,Orthoherpesviridae,Cavia porcellus
HG934338,Avian metapneumovirus type C,Pneumoviridae,Amniota
HG934339,Avian metapneumovirus type D,Pneumoviridae,Amniota
KC470240,human papillomavirus 39,Papillomaviridae,Homo sapiens
KC519324,Hybrid snakehead virus,Rhabdoviridae,Channa argus x Channa maculata
KC529648,Human adenovirus 43,Adenoviridae,Homo sapiens
KC614703,avisivirus A1,Picornaviridae,Meleagris gallopavo
KC618527,Elephant endotheliotropic herpesvirus 1A,Orthoherpesviridae,Elephas maximus
KC685626,Paralichthys olivaceus rhabdovirus,Rhabdoviridae,Paralichthys olivaceus
KC693024,Simian mastadenovirus C,Adenoviridae,Catarrhini
KC802224,Lymphoproliferative disease virus,Retroviridae,Meleagris gallopavo
KC811837,megrivirus B2,Picornaviridae,Columba livia
KC815310,Hepacivirus peromysci,Flaviviridae,Peromyscus maniculatus
KC815311,Pegivirus neotomae,Flaviviridae,Neotoma lepida
KC858265,Eptesicus serotinus papillomavirus 3,Papillomaviridae,Eptesicus serotinus
KC865735,Andrias davidianus ranavirus,Iridoviridae,Euteleostomi
KC935379,kunsagivirus A1,Picornaviridae,Coracias garrulus
KF006398,Human papillomavirus 171,Papillomaviridae,Homo sapiens
KF006400,Human papillomavirus 173,Papillomaviridae,Homo sapiens
KF029431,Simian T-cell lymphotropic virus 4,Retroviridae,Gorilla gorilla
KF039911,Human astrovirus 2,Astroviridae,Homo sapiens
KF204570,Sapovirus pig/Gansu/CH430/2012/CHN,Caliciviridae,Sus scrofa
KF279629,Human adenovirus 23,Adenoviridae,Homo sapiens
KF306212,Norovirus Hu/GI.2/Jingzhou/2013401/CHN,Caliciviridae,Homo sapiens
KF306213,Norovirus Hu/GII.3/Jingzhou/2013402/CHN,Caliciviridae,Homo sapiens
KF306214,Norovirus Hu/GII.4/Jingzhou/2013403/CHN,Caliciviridae,Homo sapiens
KF312882,Enterovirus B111,Picornaviridae,Homo sapiens
KF313137,Duck infectious anemia virus,Retroviridae,Anas platyrhynchos
KF367457,Bat SARS-like coronavirus WIV1,Coronaviridae,Boreoeutheria
KF371631,Rabbit associated gemykroznavirus 1,Genomoviridae,Oryctolagus cuniculus
KF371632,Starling associated gemygorvirus 1,Genomoviridae,Sturnus vulgaris
KF371641,Faecal-associated gemycircularvirus 1c,Genomoviridae,Turdus merula
KF422142,Coxsackievirus A12,Picornaviridae,Homo sapiens
KF512820,Chinese giant salamander iridovirus,Iridoviridae,Andrias davidianus
PP511650,Dulem virus 64,Inoviridae,Varecia variegata
PP511664,Dulem virus 68,Inoviridae,Varecia variegata
PP511687,Dulem virus 52,Inoviridae,Varecia variegata
PP511688,Dulem virus 53,Inoviridae,Varecia variegata
PP511689,Dulem virus 54,Inoviridae,Varecia variegata
PP511690,Dulem virus 55,Inoviridae,Varecia variegata
PP511691,Dulem virus 58,Inoviridae,Varecia variegata
PP511697,Dulem virus 72,Inoviridae,Varecia variegata
PP511699,Dulem virus 57,Inoviridae,Varecia variegata
PP511700,Dulem virus 60,Inoviridae,Varecia variegata
PP511705,Dulem virus 208,Microviridae,Varecia variegata
PP511706,Dulem virus 30,,Lemur catta
PP511711,Dulem virus 251,Microviridae,Lemur catta
MZ089761,Microvirus mar15,Microviridae,Marmota flaviventris
MZ089762,Microvirus mar16,Microviridae,Marmota flaviventris
MZ089763,Microvirus mar17,Microviridae,Marmota flaviventris
MZ089764,Microvirus mar18,Microviridae,Marmota flaviventris
MZ089765,Microvirus mar19,Microviridae,Marmota flaviventris
MZ089766,Microvirus mar20,Microviridae,Marmota flaviventris
MZ089767,Microvirus mar21,Microviridae,Marmota flaviventris
MZ089768,Microvirus mar22,Microviridae,Marmota flaviventris
MZ089769,Microvirus mar23,Microviridae,Marmota flaviventris
MZ089771,Microvirus mar25,Microviridae,Marmota flaviventris
MZ089772,Microvirus mar26,Microviridae,Marmota flaviventris
MZ089773,Microvirus mar27,Microviridae,Marmota flaviventris
MZ089774,Microvirus mar28,Microviridae,Marmota flaviventris
MZ089775,Microvirus mar29,Microviridae,Marmota flaviventris
MZ089776,Microvirus mar30,Microviridae,Marmota flaviventris
MZ089777,Microvirus mar31,Microviridae,Marmota flaviventris
FJ966081,Influenza A virus (A/California/04/2009(H1N1)),Orthomyxoviridae,Homo sapiens
FJ966082,Influenza A virus (A/California/04/2009(H1N1)),Orthomyxoviridae,Homo sapiens
FJ966083,Influenza A virus (A/California/04/2009(H1N1)),Orthomyxoviridae,Homo sapiens
FJ966084,Influenza A virus (A/California/04/2009(H1N1)),Orthomyxoviridae,Homo sapiens
FM955278,Coxsackievirus A17,Picornaviridae,Homo sapiens
FM955837,Human papillomavirus 98,Papillomaviridae,Homo sapiens
FM955838,Human papillomavirus 99,Papillomaviridae,Homo sapiens
FM955839,Human papillomavirus 100,Papillomaviridae,Homo sapiens
FM955841,Human papillomavirus 105,Papillomaviridae,Homo sapiens
FM955842,Human papillomavirus 113,Papillomaviridae,Homo sapiens
FN430414,Infectious bronchitis virus ITA/90254/2005,Coronaviridae,Gallus gallus
FN547152,Human papillomavirus 125,Papillomaviridae,Homo sapiens
FN598907,Human papillomavirus 120,Papillomaviridae,Homo sapiens
FN677755,human papillomavirus 150,Papillomaviridae,Homo sapiens
FN677756,Human papillomavirus 151,Papillomaviridae,Homo sapiens
FR751039,Human papillomavirus type 68b,Papillomaviridae,Homo sapiens
FR823284,Human polyomavirus IPPyV,Polyomaviridae,Homo sapiens
NC_038529,Eothenomys miletus hantavirus LX309,Hantaviridae,Eothenomys miletus
NC_038530,Eothenomys miletus hantavirus LX309,Hantaviridae,Eothenomys miletus
NC_038528,Eothenomys miletus hantavirus LX309,Hantaviridae,Eothenomys miletus
NC_038531,Vulpes vulpes papillomavirus 1,Papillomaviridae,Vulpes vulpes
NC_038533,Gray fox amdovirus,Parvoviridae,Urocyon cinereoargenteus
NC_038535,California sea lion bocavirus 1,Parvoviridae,Zalophus californianus
NC_038536,California sea lion bocavirus 3,Parvoviridae,Zalophus californianus
NC_038538,Porcine bocavirus H18,Parvoviridae,Sus scrofa domesticus
NC_038539,California sea lion adeno-associated virus 1,Parvoviridae,Zalophus californianus
NC_038540,Simian parvovirus,Parvoviridae,Macaca fascicularis
NC_038541,Rhesus macaque parvovirus,Parvoviridae,Macaca nemestrina
NC_038542,Pig-tailed macaque parvovirus,Parvoviridae,Macaca nemestrina
NC_038543,Chipmunk parvovirus,Parvoviridae,Chlorocebus aethiops
NC_038544,Protoparvovirus primate1,Parvoviridae,Homo sapiens
NC_038545,Rat parvovirus 1,Parvoviridae,Rattus norvegicus
NC_038547,Ovine hokovirus,Parvoviridae,Ovis aries
NC_038554,Bat polyomavirus 5b,Polyomaviridae,Acerodon celebensis
NC_038555,Alphapolyomavirus secarplanirostris,Polyomaviridae,Artibeus planirostris
NC_038556,Alphapolyomavirus tertarplanisrostris,Polyomaviridae,Artibeus planirostris
NC_038557,Alphapolyomavirus sturnirae,Polyomaviridae,Sturnira lilium
NC_038558,Betapolyomavirus arplanirostris,Polyomaviridae,Artibeus planirostris
NC_038574,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038575,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038576,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038577,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038578,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038579,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038580,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038581,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038582,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038583,Equine encephalosis virus,Sedoreoviridae,Boreoeutheria
NC_038594,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038595,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038596,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038597,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038598,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038599,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038600,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038601,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038602,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038603,Lebombo virus,Sedoreoviridae,Homo sapiens
NC_038604,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038605,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038606,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038607,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038608,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038609,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038610,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038611,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038612,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038613,Orungo virus,Sedoreoviridae,Euarchontoglires
NC_038634,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038635,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038636,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038637,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038638,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038639,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038640,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038641,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038642,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038643,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038644,Scophthalmus maximus reovirus,Spinareoviridae,Euteleosteomorpha
NC_038658,Pulau reovirus,Spinareoviridae,Boreoeutheria
NC_038667,Pulau reovirus,Spinareoviridae,Boreoeutheria
NC_038669,Puma lentivirus 14,Retroviridae,Felis catus
NC_038670,Cabassou virus,Togaviridae,Amniota
NC_038672,Mucambo virus,Togaviridae,Equus caballus
NC_038674,Rio Negro virus,Togaviridae,Mesocricetus auratus
NC_038694,Rockport virus,Hantaviridae,Scalopus aquaticus
NC_038695,Rockport virus,Hantaviridae,Scalopus aquaticus
NC_038696,Rockport virus,Hantaviridae,Scalopus aquaticus
NC_038721,Anopheles B virus,Peribunyaviridae,Mus musculus
NC_078974,Anopheles B virus,Peribunyaviridae,Mus musculus
NC_078975,Anopheles B virus,Peribunyaviridae,Mus musculus
NC_038732,Orthobunyavirus guajaraense,Peribunyaviridae,Mus musculus
NC_038733,Orthobunyavirus guajaraense,Peribunyaviridae,Mus musculus
NC_038734,Orthobunyavirus guajaraense,Peribunyaviridae,Mus musculus
NC_038735,Guama virus,Peribunyaviridae,Simiiformes
NC_038736,Guama virus,Peribunyaviridae,Simiiformes
NC_038737,Guama virus,Peribunyaviridae,Simiiformes
NC_038861,Transmissible gastroenteritis virus,Coronaviridae,Sus scrofa
NC_038878,Human rhinovirus NAT001,Picornaviridae,Homo sapiens
NC_038880,rosavirus A1,Picornaviridae,Peromyscus crinitus
NC_038889,human papillomavirus 30,Papillomaviridae,Homo sapiens
NC_038914,Human papillomavirus 184,Papillomaviridae,Homo sapiens
NC_038922,Avian sarcoma virus CT10,Retroviridae,Phasianidae
NC_001500,Spleen focus-forming virus,Retroviridae,Mus musculus
NC_001501,Moloney murine leukemia virus,Retroviridae,Mus musculus
NC_001502,Moloney murine sarcoma virus,Retroviridae,Mus musculus
NC_001503,Mouse mammary tumor virus,Retroviridae,Mus musculus
NC_001506,Murine osteosarcoma virus,Retroviridae,Mus musculus
NC_001510,Minute virus of mice,Parvoviridae,Mus musculus
NC_001511,Ovine lentivirus,Retroviridae,Ovis aries
NC_001512,Onyong-nyong virus,Togaviridae,Homo sapiens
NC_001515,Murine polyomavirus strain BG,Polyomaviridae,Mus
